#
# $Id: adxectivos.txt,v 1.4 2007/10/03 07:03:01 fmendez Exp $
# $Name:  $
#	
aaronita,M,S
aborrachado,M,S,aborrachado
aborrachados,M,P,aborrachado
aborrecedera,F,S,aborrecedero
aborrecederas,F,P,aborrecedero
aborrecedero,M,S,aborrecedero
aborrecederos,M,P,aborrecedero
aborrecedor,M,S,aborrecedor
aborrecedora,F,S,aborrecedor
aborrecedoras,F,P,aborrecedor
aborrecedores,M,P,aborrecedor
aborrecible,A,S,aborrecible
aborrecibles,A,P,aborrecible
aborregada,F,S,aborregado
aborregadas,F,P,aborregado
aborregado,M,S,aborregado
aborregados,M,P,aborregado
aborrible,A,S,aborrible
aborribles,A,P,aborrible
abortiva,F,S,abortivo
abortivas,F,P,abortivo
abortivo,M,S,abortivo
abortivos,M,P,abortivo
aborígenes,A,P
abotinada,F,S,abotinado
abotinadas,F,P,abotinado
abotinado,M,S,abotinado
abotinados,M,P,abotinado
abovedada,F,S,abovedado
abovedadas,F,P,abovedado
abovedado,M,S,abovedado
abovedados,M,P,abovedado
aboyada,F,S,aboyado
aboyadas,F,P,aboyado
aboyado,M,S,aboyado
aboyados,M,P,aboyado
abracadabrante,A,S
abracadabrantes,A,P,abracadabrante
abrasador,M,S,abrasador
abrasadora,F,S,abrasador
abrasadoras,F,P,abrasador
abrasadores,M,P,abrasador
abrasilada,F,S,abrasilado
abrasiladas,F,P,abrasilado
abrasilado,M,S,abrasilado
abrasilados,M,P,abrasilado
abrasiva,F,S,abrasivo
abrasivas,F,P,abrasivo
abrasivo,M,S,abrasivo
abrasivos,M,P,abrasivo
abrazadera,M,S
abrazaderas,M,P,abrazadera
abrazador,M,S,abrazador
abrazadora,F,S,abrazador
abrazadoras,F,P,abrazador
abrazadores,M,P,abrazador
abrevador,M,S,abrevador
abrevadora,F,S,abrevador
abrevadoras,F,P,abrevador
abrevadores,M,P,abrevador
abreviada,F,S
abreviadas,F,P
abreviado,M,S
abreviador,M,S,abreviador
abreviadora,F,S,abreviador
abreviadoras,F,P,abreviador
abreviadores,M,P,abreviador
abreviados,M,P,abreviado
abriboca,M,S
abribocas,M,P,abriboca
abribonada,F,S,abribonado
abribonadas,F,P,abribonado
abribonado,M,S,abribonado
abribonados,M,P,abribonado
abridera,F,S,abridero
abrideras,F,P,abridero
abridero,M,S,abridero
abrideros,M,P,abridero
abridor,M,S,abridor
abridora,F,S,abridor
abridoras,F,P,abridor
abridores,M,P,abridor
abrigador,M,S,abrigador
abrigadora,F,S,abrigador
abrigadoras,F,P,abrigador
abrigadores,M,P,abrigador
abrileña,F,S,abrileño
abrileñas,F,P,abrileño
abrileño,M,S,abrileño
abrileños,M,P,abrileño
abrillantador,M,S,abrillantador
abrillantadora,F,S,abrillantador
abrillantadoras,F,P,abrillantador
abrillantadores,M,P,abrillantador
